"agency_cd","site_no","date","water_temp_C","water_temp_code","discharge_cfs","discharge_code","gage_height_ft","gage_height_code","conductivity_uScm","conductivity_code","dissolved_oxygen_mgL","dissolved_oxygen_code","turbidity_ntu","turbidity_code","salinity_psu","salinity_code","pH","pH_code"
"USGS","07374000",2007-01-20,8.1,"A",847000,"A",30.19,"A",319,"A",11.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-21,7.8,"A",861000,"A",30.89,"A",314,"A",11.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-22,7.6,"A",874000,"A",31.46,"A",312,"A",11.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-23,7.3,"A",860000,"A",31.75,"A",313,"A",11.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-24,7.2,"A",875000,"A",31.97,"A",302,"A",11.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-25,7,"A",873000,"A",32.1,"A",292,"A",11.3,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-26,6.8,"A",881000,"A",32.21,"A",289,"A",11.4,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-27,6.7,"A",884000,"A",32.38,"A",285,"A",11.5,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-28,6.6,"A",888000,"A",32.54,"A",277,"A",11.6,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-29,6.5,"A",878000,"A",32.5,"A",274,"A",11.7,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-30,6.3,"A",875000,"A",32.42,"A",272,"A",11.8,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-01-31,6.1,"A",864000,"A",32.36,"A",271,"A",11.9,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-02-01,5.9,"A",883000,"A",32.36,"A",272,"A",12.1,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-02-02,5.7,"A",894000,"A",32.27,"A",276,"A",12.2,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-02-03,5.5,"A",887000,"A",32.01,"A",275,"A",12.3,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-02-04,5.3,"A",879000,"A",31.58,"A",279,"A",12.5,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-02-05,5.2,"A",862000,"A",30.94,"A",283,"A",12.6,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-02-06,5.2,"A",847000,"A",30.07,"A",287,"A",12.7,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-02-07,5.2,"A",811000,"A",29.09,"A",291,"A",12.9,"A",0.1,"A",NA,NA,NA,NA
"USGS","07374000",2007-02-08,NA,NA,786000,"A",28.24,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-09,NA,NA,746000,"A",27.24,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-10,NA,NA,708000,"A",26.08,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-11,NA,NA,644000,"A",24.8,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-12,NA,NA,611000,"A",23.55,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-13,NA,NA,573000,"A",22.56,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-14,NA,NA,537000,"A",21.52,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-15,NA,NA,504000,"A",20.45,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-16,NA,NA,471000,"A",19.28,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-17,NA,NA,447000,"A",18.09,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-18,NA,NA,430000,"A",17.23,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-19,NA,NA,415000,"A",16.52,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-20,NA,NA,405000,"A",15.98,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-21,NA,NA,399000,"A",15.66,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-22,NA,NA,396000,"A",15.53,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-23,NA,NA,394000,"A",15.44,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-24,NA,NA,395000,"A",15.49,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-25,NA,NA,396000,"A",15.54,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-26,NA,NA,392000,"A",15.29,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-27,NA,NA,389000,"A",15.16,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-02-28,NA,NA,389000,"A",15.15,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-01,NA,NA,389000,"A",15.18,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-02,NA,NA,393000,"A",15.38,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-03,NA,NA,405000,"A",16.01,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-04,NA,NA,431000,"A",17.32,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-05,NA,NA,464000,"A",18.92,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-06,NA,NA,496000,"A",20.48,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-07,NA,NA,526000,"A",21.87,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-08,NA,NA,553000,"A",22.98,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-09,NA,NA,572000,"A",23.77,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-10,NA,NA,586000,"A",24.35,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-11,NA,NA,6e+05,"A",24.87,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-12,NA,NA,612000,"A",25.32,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-13,NA,NA,621000,"A",25.65,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-14,NA,NA,627000,"A",25.85,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-15,NA,NA,632000,"A",26.05,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-16,NA,NA,633000,"A",26.09,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-17,9,"A",630000,"A",25.95,"A",357,"A",9.5,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-18,9.3,"A",619000,"A",25.58,"A",356,"A",9.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-19,9.8,"A",601000,"A",24.92,"A",355,"A",9.4,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-03-20,10.3,"A",582000,"A",24.18,"A",356,"A",9.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-21,10.9,"A",563000,"A",23.41,"A",362,"A",9.1,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-22,11.3,"A",544000,"A",22.61,"A",363,"A",9,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-23,11.8,"A",524000,"A",21.79,"A",368,"A",8.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-24,12.2,"A",507000,"A",21,"A",378,"A",8.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-25,12.5,"A",497000,"A",20.5,"A",392,"A",8.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-26,12.6,"A",494000,"A",20.37,"A",405,"A",8.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-27,12.7,"A",498000,"A",20.57,"A",419,"A",8.5,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-28,12.9,"A",506000,"A",20.93,"A",430,"A",8.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-29,13.1,"A",517000,"A",21.45,"A",445,"A",8.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-30,13.3,"A",530000,"A",22.03,"A",443,"A",8.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-03-31,13.3,"A",547000,"A",22.73,"A",436,"A",8.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-01,13.2,"A",562000,"A",23.36,"A",426,"A",8.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-02,13.2,"A",574000,"A",23.87,"A",418,"A",8.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-03,13.5,"A",585000,"A",24.31,"A",416,"A",8.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-04,13.9,"A",593000,"A",24.61,"A",406,"A",8.2,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-05,14.3,"A",598000,"A",24.82,"A",399,"A",8.1,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-06,14.7,"A",6e+05,"A",24.89,"A",401,"A",8.1,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-07,14.9,"A",601000,"A",24.93,"A",412,"A",8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-08,14.7,"A",605000,"A",25.06,"A",411,"A",8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-09,14.8,"A",610000,"A",25.26,"A",412,"A",8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-10,15,"A",619000,"A",25.59,"A",424,"A",8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-11,15.1,"A",626000,"A",25.81,"A",431,"A",8.1,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-12,15.1,"A",625000,"A",25.79,"A",445,"A",8.1,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-13,15.2,"A",626000,"A",25.81,"A",457,"A",8.1,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-14,15.5,"A",627000,"A",25.86,"A",461,"A",8.2,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-15,15.3,"A",624000,"A",25.74,"A",449,"A",8.2,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-16,15,"A",616000,"A",25.48,"A",461,"A",8.2,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-17,14.7,"A",608000,"A",25.16,"A",459,"A",8.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-18,14.5,"A",599000,"A",24.86,"A",442,"A",8.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-19,14.3,"A",593000,"A",24.62,"A",442,"A",8.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-20,14.2,"A",588000,"A",24.42,"A",439,"A",8.4,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-04-21,NA,NA,583000,"A",24.21,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-04-22,NA,NA,584000,"A",24.26,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-04-23,14,"A",590000,"A",24.49,"A",469,"A",8.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-24,14.1,"A",596000,"A",24.74,"A",479,"A",8.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-25,14.1,"A",604000,"A",25.04,"A",484,"A",8.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-26,14.3,"A",617000,"A",25.5,"A",488,"A",8.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-04-27,14.3,"A",625000,"A",25.79,"A",484,"A",8.7,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-04-28,NA,NA,633000,"A",26.06,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-04-29,NA,NA,641000,"A",26.34,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-04-30,NA,NA,648000,"A",26.59,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-01,NA,NA,653000,"A",26.76,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-02,NA,NA,651000,"A",26.7,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-03,NA,NA,645000,"A",26.49,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-04,17.9,"A",646000,"A",26.53,"A",434,"A",7.9,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-05-05,18.5,"A",642000,"A",26.4,"A",426,"A",7.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-05-06,19.2,"A",628000,"A",25.88,"A",433,"A",7.5,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-05-07,19.8,"A",614000,"A",25.4,"A",437,"A",7.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-05-08,20.3,"A",605000,"A",25.08,"A",446,"A",7.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-05-09,20.7,"A",597000,"A",24.77,"A",461,"A",7.4,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-10,NA,NA,592000,"A",24.57,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-11,NA,NA,590000,"A",24.49,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-12,NA,NA,589000,"A",24.46,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-13,NA,NA,591000,"A",24.54,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-14,NA,NA,596000,"A",24.72,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-15,NA,NA,601000,"A",24.93,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-16,22.4,"A",608000,"A",25.17,"A",478,"A",7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-05-17,22.5,"A",617000,"A",25.49,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-18,NA,NA,627000,"A",25.85,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-19,NA,NA,632000,"A",26.03,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-20,NA,NA,636000,"A",26.16,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-21,NA,NA,636000,"A",26.17,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-22,NA,NA,630000,"A",25.97,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-23,NA,NA,622000,"A",25.68,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-24,NA,NA,612000,"A",25.34,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-25,NA,NA,603000,"A",25,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-26,NA,NA,594000,"A",24.65,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-27,NA,NA,580000,"A",24.13,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-28,NA,NA,564000,"A",23.45,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-29,NA,NA,546000,"A",22.69,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-30,NA,NA,527000,"A",21.9,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-05-31,24.2,"A",505000,"A",20.9,"A",431,"A",6.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-01,24.4,"A",478000,"A",19.64,"A",441,"A",6.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-02,24.7,"A",452000,"A",18.33,"A",444,"A",6.8,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-06-03,25,"A",425000,"A",17,"A",449,"A",6.8,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-06-04,25.1,"A",401000,"A",15.79,"A",453,"A",6.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-05,25.3,"A",387000,"A",15.03,"A",462,"A",6.9,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-06,25.6,"A",382000,"A",14.76,"A",475,"A",7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-07,25.9,"A",383000,"A",14.82,"A",487,"A",7,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-06-08,26.2,"A",384000,"A",14.89,"A",496,"A",7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-09,26.5,"A",383000,"A",14.84,"A",497,"A",7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-10,26.7,"A",385000,"A",14.97,"A",489,"A",7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-11,26.8,"A",391000,"A",15.26,"A",492,"A",6.9,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-12,26.9,"A",394000,"A",15.41,"A",497,"A",6.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-13,NA,NA,392000,"A e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-06-14,NA,NA,386000,"A e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-06-15,NA,NA,384000,"A e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-06-16,27.1,"A",383000,"A",14.83,"A",498,"A",6.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-17,26.9,"A",381000,"A",14.71,"A",496,"A",6.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-18,26.9,"A",380000,"A",14.68,"A",499,"A",6.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-19,26.9,"A",384000,"A",14.87,"A",494,"A",6.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-20,26.9,"A",390000,"A",15.19,"A",497,"A",6.8,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-06-21,27.3,"A",394000,"A",15.4,"A",514,"A",6.8,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-06-22,27.6,"A",395000,"A",15.47,"A",524,"A",6.8,"A",0.3,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-23,27.8,"A",394000,"A",15.42,"A",523,"A",6.7,"A",0.3,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-24,27.7,"A",394000,"A",15.43,"A",514,"A",6.7,"A",0.3,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-25,27.6,"A",394000,"A",15.4,"A",498,"A",6.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-26,27.8,"A",393000,"A",15.39,"A",488,"A",6.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-27,28,"A",397000,"A",15.6,"A",469,"A",6.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-28,28.1,"A",4e+05,"A",15.72,"A",462,"A",6.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-29,28.3,"A",395000,"A",15.49,"A",469,"A",6.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-06-30,28.4,"A",392000,"A",15.3,"A",477,"A",6.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-01,28.6,"A",388000,"A",15.13,"A",495,"A",6.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-02,28.9,"A",385000,"A",14.96,"A",511,"A",6.7,"A",0.3,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-03,28.9,"A",385000,"A",14.93,"A",515,"A",6.6,"A",0.3,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-04,28.9,"A",392000,"A",15.33,"A",515,"A",6.6,"A",0.3,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-05,28.7,"A",403000,"A",15.88,"A",512,"A",6.8,"A",0.3,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-06,28.6,"A",411000,"A",16.28,"A",517,"A",6.8,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-07-07,28.4,"A",416000,"A",16.55,"A",515,"A",6.8,"A",0.3,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-08,28.2,"A",424000,"A",16.95,"A",509,"A",6.8,"A",0.3,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-09,28.2,"A",435000,"A",17.49,"A",506,"A",6.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-10,27.8,"A",455000,"A",18.5,"A",491,"A",6.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-11,28.1,"A",474000,"A",19.43,"A",486,"A",6.8,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-12,28.4,"A",484000,"A",19.91,"A",477,"A",6.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-13,28.5,"A",491000,"A",20.22,"A",467,"A",6.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-14,28.4,"A",498000,"A",20.56,"A",462,"A",6.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-15,28.2,"A",511000,"A",21.17,"A",461,"A",6.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-16,27.8,"A",528000,"A",21.96,"A",431,"A",6.7,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-17,27.4,"A",536000,"A",22.3,"A",391,"A",6.6,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-18,27.4,"A",534000,"A",22.19,"A",378,"A",6.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-19,27.7,"A",530000,"A",22.04,"A",385,"A",6.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-20,27.8,"A",525000,"A",21.8,"A",390,"A",6.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-21,28,"A",519000,"A",21.53,"A",395,"A",6.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-22,28.4,"A",511000,"A",21.17,"A",395,"A",6.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-23,28.5,"A",499000,"A",20.62,"A",398,"A",6.4,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-24,28.8,"A",486000,"A",19.98,"A",411,"A",6.3,"A",NA,NA,NA,NA,NA,NA
"USGS","07374000",2007-07-25,29.1,"A",474000,"A",19.45,"A",415,"A",6.3,"A",0.2,"A",NA,NA,NA,NA
"USGS","07374000",2007-07-26,29.2,"A",462000,"A",18.85,"A",420,"A",6.3,"A",0.2,"A",NA,NA,NA,NA
